Store,Product,Size,Price,IsAvailableEver
Tesco,7000,S,2.5789584234671312,True
Lidl,7000,S,4.1655308314811155,True
Spar,7000,S,3.114233389202216,True
Aldi,7000,S,4.502680242051665,True
M&S,7000,S,3.881729781121898,False
Tesco,7001,S,4.502534993378363,True
Lidl,7001,S,5.418023701492648,True
Spar,7001,S,4.577135105170281,True
Aldi,7001,S,4.116612986761367,False
M&S,7001,S,5.153952223286956,True
Tesco,7002,S,1.444837973463918,True
Lidl,7002,S,1.3072467192742472,True
Spar,7002,S,1.144302943068292,False
Aldi,7002,S,0.9819663758798397,True
M&S,7002,S,1.1921722028782153,True
Tesco,7003,S,1.8297349907348432,False
Lidl,7003,S,2.3314905226796894,True
Spar,7003,S,2.1255758006571965,True
Aldi,7003,S,2.089973853892699,False
M&S,7003,S,2.5001486184944515,True
Tesco,7004,S,2.074827743421937,True
Lidl,7004,S,1.5272000070569773,True
Spar,7004,S,1.6874606777247054,True
Aldi,7004,S,1.813007747388874,True
M&S,7004,S,2.6819294165504743,True
Tesco,7005,S,2.022697192705713,True
Lidl,7005,S,2.078135919498613,True
Spar,7005,S,2.501201686815014,True
Aldi,7005,S,2.326785798911532,True
M&S,7005,S,2.8244894163839933,True
Tesco,7006,S,3.5420885689089157,True
Lidl,7006,S,4.261647428274093,True
Spar,7006,S,3.0128911942439225,True
Aldi,7006,S,2.7286849752748634,True
M&S,7006,S,4.168489963402852,True
Tesco,7007,S,1.6518218146237225,False
Lidl,7007,S,1.4751892473439774,True
Spar,7007,S,1.8110111154204451,True
Aldi,7007,S,1.6337036753878256,True
M&S,7007,S,2.1196465842301726,True
Tesco,7008,S,3.349010559937473,True
Lidl,7008,S,2.2834270281196125,False
Spar,7008,S,2.818110545621446,False
Aldi,7008,S,3.053025537457647,False
M&S,7008,S,2.027495594156968,True
Tesco,7009,S,4.0773464374548265,True
Lidl,7009,S,3.712121983297623,True
Spar,7009,S,4.039637881427126,False
Aldi,7009,S,5.318168745667664,True
M&S,7009,S,3.62080170951508,False
Tesco,7010,S,3.856590494688359,True
Lidl,7010,S,5.3278426959648995,True
Spar,7010,S,4.754791282969713,True
Aldi,7010,S,4.6116664017835705,True
M&S,7010,S,4.720957126156097,True
Tesco,7011,S,3.943909077342317,True
Lidl,7011,S,3.1783729437497126,True
Spar,7011,S,2.329552938612214,True
Aldi,7011,S,3.4511910369220047,False
M&S,7011,S,3.9930830490059464,True
Tesco,7012,S,1.6519065234425965,True
Lidl,7012,S,1.618651463565983,True
Spar,7012,S,2.02139364446344,False
Aldi,7012,S,1.3533413681580186,True
M&S,7012,S,1.4244897982253317,True
Tesco,7013,S,3.101031882229324,True
Lidl,7013,S,3.1247029512091706,True
Spar,7013,S,4.215675164354852,True
Aldi,7013,S,3.756095675166794,True
M&S,7013,S,3.4851093267242534,True
Tesco,7014,S,4.879544866730022,True
Lidl,7014,S,3.4243034916200714,True
Spar,7014,S,3.2790789977158377,False
Aldi,7014,S,3.9130574640614224,False
M&S,7014,S,3.366146427447444,True
Tesco,7015,S,1.118606453239927,True
Lidl,7015,S,0.9684882801567525,False
Spar,7015,S,1.0334129231120257,True
Aldi,7015,S,1.0178325178194323,True
M&S,7015,S,0.9236423179557026,True
Tesco,7000,M,6.270269445885748,True
Lidl,7000,M,5.743526188503897,True
Spar,7000,M,5.260813729149981,True
Aldi,7000,M,4.569981706917936,True
M&S,7000,M,5.5462960236140235,True
Tesco,7001,M,7.513950428782376,True
Lidl,7001,M,4.755761201998457,True
Spar,7001,M,5.951833323244368,True
Aldi,7001,M,6.92386695871226,True
M&S,7001,M,6.724321013718667,True
Tesco,7002,M,1.8116865482645867,True
Lidl,7002,M,1.848817220654205,False
Spar,7002,M,1.5081557303707385,False
Aldi,7002,M,2.1586618629458725,True
M&S,7002,M,1.5332154523272565,True
Tesco,7003,M,3.5470741630477676,False
Lidl,7003,M,3.9809185847060817,False
Spar,7003,M,4.38155705157636,True
Aldi,7003,M,3.0836276123716573,False
M&S,7003,M,3.5398900591413356,True
Tesco,7004,M,3.4692191359741846,True
Lidl,7004,M,3.323713432141372,False
Spar,7004,M,2.7214522572091444,False
Aldi,7004,M,2.445576614262632,True
M&S,7004,M,2.7021522641082805,False
Tesco,7005,M,5.310768761793376,True
Lidl,7005,M,5.370401374174491,True
Spar,7005,M,5.345125935191967,False
Aldi,7005,M,3.169224715588708,True
M&S,7005,M,3.998979003705173,True
Tesco,7006,M,6.997883391089376,True
Lidl,7006,M,6.97628147977797,True
Spar,7006,M,4.795305721172333,True
Aldi,7006,M,4.170817663433326,False
M&S,7006,M,5.998272503795825,True
Tesco,7007,M,3.077707537462366,True
Lidl,7007,M,2.8992332568187966,True
Spar,7007,M,2.0839056127370803,True
Aldi,7007,M,2.4918586549335626,True
M&S,7007,M,2.749762496264555,True
Tesco,7008,M,5.332306411226767,False
Lidl,7008,M,3.8202624645138026,True
Spar,7008,M,3.516843289063884,True
Aldi,7008,M,5.435430100761474,True
M&S,7008,M,3.510523266338605,True
Tesco,7009,M,4.9387855325489305,True
Lidl,7009,M,4.891300802166317,True
Spar,7009,M,6.503046667705465,True
Aldi,7009,M,7.325693333954952,True
M&S,7009,M,4.661550040921837,True
Tesco,7010,M,6.07411411024737,True
Lidl,7010,M,7.337510475345174,True
Spar,7010,M,6.19365852964756,True
Aldi,7010,M,7.167674752798303,False
M&S,7010,M,8.15915267057492,True
Tesco,7011,M,7.053051512567175,True
Lidl,7011,M,4.171038762973435,False
Spar,7011,M,4.760093488122508,True
Aldi,7011,M,4.945280213927332,True
M&S,7011,M,4.695454811429715,False
Tesco,7012,M,2.294186342979305,True
Lidl,7012,M,3.00113427726535,True
Spar,7012,M,1.947525881461681,False
Aldi,7012,M,1.8689165024072552,True
M&S,7012,M,2.758817566366898,True
Tesco,7013,M,6.52427742801923,True
Lidl,7013,M,5.275205544231521,True
Spar,7013,M,6.53873999745413,True
Aldi,7013,M,5.621573443867563,True
M&S,7013,M,4.923894713354459,True
Tesco,7014,M,4.290190536182516,True
Lidl,7014,M,5.363771792159249,True
Spar,7014,M,4.043447933459875,True
Aldi,7014,M,4.7393153493969065,True
M&S,7014,M,3.9615031321415155,True
Tesco,7015,M,1.3058843449841337,True
Lidl,7015,M,1.1162792504102237,True
Spar,7015,M,1.174209917942479,True
Aldi,7015,M,1.1862514160601672,True
M&S,7015,M,1.5690361632944103,False
Tesco,7000,L,7.200948004902189,True
Lidl,7000,L,8.201376461947273,True
Spar,7000,L,10.90072566831793,True
Aldi,7000,L,7.935514501420933,True
M&S,7000,L,10.13578620207388,True
Tesco,7001,L,10.325369370022868,True
Lidl,7001,L,8.290979251142737,True
Spar,7001,L,10.777547686189045,True
Aldi,7001,L,10.314950282290752,True
M&S,7001,L,6.932308312390059,True
Tesco,7002,L,2.4894003634306365,True
Lidl,7002,L,2.395278803768785,True
Spar,7002,L,2.063769889079588,True
Aldi,7002,L,2.1899173741114,True
M&S,7002,L,2.8768286743574785,True
Tesco,7003,L,4.809810478446432,True
Lidl,7003,L,4.531876092364298,False
Spar,7003,L,4.935744324938225,True
Aldi,7003,L,7.16716697358796,True
M&S,7003,L,4.618136299235751,True
Tesco,7004,L,4.730623269486506,True
Lidl,7004,L,3.4863550260419047,True
Spar,7004,L,3.3127236564816354,True
Aldi,7004,L,4.467006977753631,True
M&S,7004,L,3.4975367446974532,True
Tesco,7005,L,4.378522387773245,True
Lidl,7005,L,7.321927045484961,True
Spar,7005,L,4.978607406353194,True
Aldi,7005,L,6.906306851271026,True
M&S,7005,L,4.08759043813364,True
Tesco,7006,L,6.21807613790424,True
Lidl,7006,L,8.354455319229086,False
Spar,7006,L,6.057352979152928,True
Aldi,7006,L,4.794847660216341,False
M&S,7006,L,8.21179345371255,True
Tesco,7007,L,6.173688992390788,True
Lidl,7007,L,6.075043027699506,True
Spar,7007,L,4.04471883235773,True
Aldi,7007,L,5.674675561286077,False
M&S,7007,L,3.6240486351648173,False
Tesco,7008,L,5.770198375319096,False
Lidl,7008,L,6.725894092575531,True
Spar,7008,L,5.604308026816047,True
Aldi,7008,L,7.812834146745529,True
M&S,7008,L,7.46336507486247,False
Tesco,7009,L,6.262658578847664,True
Lidl,7009,L,6.528571712220413,False
Spar,7009,L,9.081923989404453,False
Aldi,7009,L,6.785998560953302,True
M&S,7009,L,5.764302381915092,True
Tesco,7010,L,7.284034616792473,True
Lidl,7010,L,7.309851165232429,True
Spar,7010,L,7.323156173301441,True
Aldi,7010,L,7.040957278270582,True
M&S,7010,L,7.4221219384496475,False
Tesco,7011,L,4.4565257277867065,False
Lidl,7011,L,5.471603582563347,True
Spar,7011,L,7.01401583784778,True
Aldi,7011,L,7.2303216996792825,True
M&S,7011,L,6.484348209775276,True
Tesco,7012,L,3.5411402301825876,False
Lidl,7012,L,4.879316843982937,False
Spar,7012,L,4.029986889756309,True
Aldi,7012,L,4.927414876639772,False
M&S,7012,L,3.4729989048323233,True
Tesco,7013,L,11.636649786936085,True
Lidl,7013,L,11.648566843523584,True
Spar,7013,L,9.402812044437704,True
Aldi,7013,L,9.692199382041006,False
M&S,7013,L,7.340900597886928,True
Tesco,7014,L,9.608685940011206,True
Lidl,7014,L,8.49757348480722,True
Spar,7014,L,6.351525781431313,True
Aldi,7014,L,6.042861232064434,True
M&S,7014,L,7.314756977002284,True
Tesco,7015,L,1.2040650189529802,True
Lidl,7015,L,1.3270925933338122,True
Spar,7015,L,1.4111130788812298,True
Aldi,7015,L,1.1565282110207622,False
M&S,7015,L,1.9228530082775723,True
